,Phrase,Meaning,Is This Accurate?,aand,chutiye,idiot,(10%) (0%)
0,"""KUTH-TII"" (or) ""KUTTII""",Bitch,(0%) (0%),,,,
1,AAGA (or) GUUUUUUU,Shit,(1%) (0%),,,,
2,amar nunu chat,Suck my dick!,(1%) (1%),,,,
3,Ami Tumarae Khortham,I Wanna Do U,(0%) (0%),,,,
4,Ashiq,Penis Hair,(7%) (26%),,,,
5,baal bichi,hair on your balls,(8%) (18%),,,,
6,Baal Halaidheese,Eat your pubic hair,(0%) (100%),,,,
7,Baba choda rendi,Prostitute who fucks her father,(1%) (1%),,,,
8,bai lerh,roten spunk,(9%) (7%),,,,
9,banchod,sister fucker,(1%) (1%),,,,
10,Bandii,Bad Bitch,(0%) (0%),,,,
11,bara,penis,(9%) (9%),,,,
12,bara / bada,dick / cock,(10%) (4%),,,,
13,Bessha,Whore,(0%) (0%),,,,
14,bhuski maagi,whore with a used & loose pussy,(9%) (6%),,,,
15,Bichi Chara Potla,Ball less bag!!,(1%) (0%),,,,
16,Bodmash,pervert,(1%) (1%),,,,
17,Boga,Dick,(1%) (0%),,,,
18,boga baicha tor mar boonie sirilymu,dick boy i will rip your mums boobs,(10%) (3%),,,,
19,Boga Khaa,Suck My Dick,(1%) (0%),,,,
20,boka choda,stupid fucker,(10%) (1%),,,,
21,bokachoda,dickhead,(1%) (1%),,,,
22,Booni,Tits/Breast,(1%) (0%),,,,
23,botla,fatty,(10%) (2%),,,,
24,chodna,fucker,(9%) (12%),,,,
25,Chodon Boiraagi,Boiraagi Fucker,(1%) (0%),,,,
26,Chodon Idli,Tamil Fucker,(1%) (0%),,,,
27,chood,fuck/fucker,(1%) (0%),,,,
28,chudir bhai,brother of a whore,(10%) (2%),,,,
29,Chudir Bhai,Brother of slut,(0%) (0%),,,,
30,Chudir Pola,Son of a whore,(1%) (0%),,,,
31,dan-da,dik,(1%) (2%),,,,
32,dhon,dick,(1%) (1%),,,,
33,dofla hetta,fat pussy,(7%) (33%),,,,
34,fatly,fat girl,(1%) (1%),,,,
35,Fel,Dick,(1%) (1%),,,,
36,foga,idiot,(0%) (0%),,,,
37,"foon, foondh",arse in Moulovibazar everywhere else means Pussy,(10%) (0%),,,,
38,fungi,sex in smelly pussy,(8%) (17%),,,,
39,Futki,Arse,(1%) (0%),,,,
40,fuun-ga,cunt,(10%) (4%),,,,
41,gorur bachcha,child of a cow,(10%) (4%),,,,
42,gud,pussy,(9%) (7%),,,,
43,gud maranir beta,son of fucker,(0%) (0%),,,,
44,gud/guud,pussy,(1%) (0%),,,,
45,Guundaa,Gangsta,(1%) (0%),,,,
46,Haram jada,Bastard,(1%) (0%),,,,
47,haram jadi,female bastard,(10%) (1%),,,,
48,Hauwa,Arsehole,(1%) (1%),,,,
49,hetta muka ath bori dimo,i will fist you (pussy),(10%) (0%),,,,
50,"hetta, bodha, shauwaa",pussy,(10%) (1%),,,,
51,"Kalu, Calou, Kalou,Blackie, Keltu, Kelo, Kolo Toure, Djimi Traore, Kalo Hulo, Nigga",Kalu,(1%) (0%),,,,
52,khanki,whore,(1%) (1%),,,,
53,khanki chudi magir gude poka,insect on the pussy of whore,(0%) (0%),,,,
54,khanki/maggi,whore,(1%) (0%),,,,
55,khankir chele,son of prostitute,(10%) (0%),,,,
56,Khankir Pola,Son of a whore,(10%) (1%),,,,
57,khobis or goror khobis,fuck your mum and dad,(1%) (5%),,,,
58,Kuth-tar Bachcha,Son of a bitch,(1%) (0%),,,,
59,Kuthar Bacha,Son of a Dog,(0%) (0%),,,,
60,Kuththar Baiccha (Baich-cha),Son Of A Bitch/Dog,(1%) (0%),,,,
61,Kuttar Bhaccha,Son of a bitch!,(10%) (5%),,,,
62,kuttar chod,dog fucker,(10%) (4%),,,,
63,Kuttar gu,Dog shit,(0%) (0%),,,,
64,laora,penis,(1%) (0%),,,,
65,lerr,cum,(0%) (0%),,,,
66,lerr kawrar fua,cum eater's son,(8%) (17%),,,,
67,Maagi,Whore/Slut,(1%) (1%),,,,
68,Maal,Hot girl,(1%) (0%),,,,
69,maggir putt,prostitutes child,(10%) (4%),,,,
70,Moga choder bacha,Mother fucker,(0%) (0%),,,,
71,mother chod,mother fucker,(1%) (1%),,,,
72,Muta kuta,fat dog,(9%) (10%),,,,
73,nankta kuttar baccha,naked son of dog,(1%) (0%),,,,
74,Nunu,Dick,(1%) (1%),,,,
75,nunu,dick,(1%) (1%),,,,
76,pagol sagol,crazy sheep,(1%) (1%),,,,
77,Pagul,Crazy,(10%) (3%),,,,
78,pasa,ass,(9%) (7%),,,,
79,podmarani,assfucker,(10%) (0%),,,,
80,Sagul,Goat,(10%) (3%),,,,
81,Shauwa,Pussy,(10%) (2%),,,,
82,shuorer baccha,son of a swine,(0%) (0%),,,,
83,Shurur Batcha,Son of a bitch,(8%) (23%),,,,
84,Suda-sudi,Fucking,(1%) (1%),,,,
85,SUDAURIER FURII,Daughter Of A Slut,(1%) (0%),,,,
86,SUDAURY,Whore/Slut,(1%) (0%),,,,
87,Suourer bachcha,Son Of A Wild Boar,(1%) (0%),,,,
88,SUTHH-MAROUNY,Whore/Slut,(1%) (0%),,,,
89,thor hetta laythum,i want to lick your pussy,(10%) (0%),,,,
90,thor maa suda,fuck your mum,(1%) (1%),,,,
91,thor maar bothoy kha,eat your mums dick,(1%) (1%),,,,
92,thore astha gao eh sudeh,whole village fucks you,(0%) (0%),,,,
93,thumar futki marthum,i want fuck you up the arse,(9%) (9%),,,,
94,"Thumi amar nunu khoa, onek mishti","Eat my dick, its very sweet",(10%) (1%),,,,
95,Thuuii Bandhorr,You're A Monkey,(1%) (0%),,,,
96,Thuuii Gaadhaa,You're A Donkey,(1%) (0%),,,,
97,to-mar ma hetta,your mums pussy,(1%) (1%),,,,
98,Tor baaf fel Khai,Your dad sucks Dick,(10%) (3%),,,,
99,Tor Bafor Boga Saat,Lick Your Dad's Dick,(10%) (4%),,,,
100,tor ma amar fell,your mum is my dik,(1%) (1%),,,,
101,tor ma boga cha,eat your moms pussy,(1%) (2%),,,,
102,Tor Maa,Your Mum,(1%) (0%),,,,
103,tor maa booni nay,your mom has no boobs,(10%) (0%),,,,
104,tor maa ke chudi,I'll fuck your Mother,(1%) (1%),,,,
105,Tor mayere chudi,I fuck your mom,(10%) (1%),,,,
106,Tor nanire chudi,I fuck your Granny,(9%) (6%),,,,
107,tor nunu bouut boro,your penis is very big,(0%) (0%),,,,
108,Tor pasha mota,Your buttock is fat,(1%) (0%),,,,
109,tu ekta bandar,Your a dumbass/monkey/idiot,(10%) (2%),,,,
110,Tur booga sooto,Your dick is small.,(1%) (1%),,,,
111,tur mar booni khaa,suck your mums tits,(1%) (1%),,,,
112,tuy ath marros,your a wanker,(1%) (0%),,,,
113,Vogchod,fool,(10%) (3%),,,,
114,Bain Chod,Sister fucker,(10%) (1%),,,,
115,Bainchod,Sister Fucker,(10%) (0%),,,,
116,Bassa Shouko,smell my ass,(9%) (9%),,,,
117,chodnar po,son of bitch,(10%) (0%),,,,
118,Gud-marani,fucker,(0%) (0%),,,,
119,hagoo,shit,(0%) (0%),,,,
120,Hijra,Homo/gay,(9%) (9%),,,,
121,Hoga,Ass,(0%) (100%),,,,
122,Khankir pola,Son of a whore,(0%) (0%),,,,
123,Kuthaar Baicha,Son of a Dog,(10%) (0%),,,,
124,Kuttar Bachcha,Son of a bitch,(0%) (0%),,,,
125,kuttar bachcha,son of a bitch,(9%) (13%),,,,
126,Leura,Dick,(9%) (9%),,,,
127,Magi,Whore/Slut,(0%) (0%),,,,
128,Mai,Tits,(0%) (0%),,,,
129,makhal,crazy,(1%) (2%),,,,
130,muri kha,go fuck yourself,(0%) (100%),,,,
131,Noakhailla,Loser,(10%) (3%),,,,
132,randi magi,whore,(0%) (0%),,,,
133,thor maa khai lai moo,i will eat your mum,(0%) (100%),,,,
134,thor maar bosoi khai see,i ate your mums dick,(0%) (0%),,,,
135,Tomar maar putkey fatamu .,I will blast ur mums ass,(1%) (0%),,,,
136,Tor babar bichi fatabo,I will crack your father's balls,(0%) (0%),,,,
137,Tor mar sawa kha,Eat your mothers cum,(10%) (0%),,,,
138,tor mare chudi,fuck your mom,(10%) (0%),,,,
139,tur ma amar fel be,your mum is my dick yeah,(0%) (100%),,,,
140,Aanguli kora,Masturbation (female),(1%) (0%),,,,
141,achuda,fucker,(1%) (1%),,,,
142,ads,bull,(9%) (9%),,,,
143,Ami tor maa ke chudmu,I will fuck your mum,(10%) (2%),,,,
144,baal,pubic hair,(1%) (1%),,,,
145,Baal chhero,Tear your ball hair,(9%) (12%),,,,
146,Bara,Cock,(10%) (1%),,,,
147,Beissha Magir Pola,Son of a Prostitute,(10%) (3%),,,,
148,Bhag,Vagina,(1%) (1%),,,,
149,Bhoda,Pussy,(10%) (1%),,,,
150,Bokachoda,Stupid fucker,(10%) (0%),,,,
151,boltu chire felbo,i will cut your penis,(10%) (3%),,,,
152,botoi khowra,eat dick,(10%) (3%),,,,
153,Choda,Fuck,(10%) (2%),,,,
154,Chood,Fuck,(10%) (4%),,,,
155,Chudanir pola,Result of fuck (Son),(10%) (0%),,,,
156,Chudi,Fuck you,(10%) (5%),,,,
157,Chudmu tor pasai sneha,Prostitute who does anal,(10%) (0%),,,,
158,Chumban,Kiss,(9%) (5%),,,,
159,Chumu,Kiss,(10%) (2%),,,,
160,Dhon,Cock,(10%) (2%),,,,
161,Dhon khecha,Masturbation (male),(9%) (5%),,,,
162,Gaand Maarano,Getting fucked in Ass,(10%) (5%),,,,
163,Gud,Vagina,(10%) (1%),,,,
164,Humaira,A fat cow,(1%) (3%),,,,
165,Khanki,Prostitute,(10%) (0%),,,,
166,khanki Magi,Slut,(10%) (5%),,,,
167,khankir pola,son of a bitch,(10%) (0%),,,,
168,kuttar Baccha,Son of a Bitch,(1%) (3%),,,,
169,lehr kawrar bachha,son of a cum eater,(10%) (0%),,,,
170,Mang,Pussy,(10%) (0%),,,,
171,Naang,Boyfriend of wife,(10%) (3%),,,,
172,pod marani,a girl who is fucked by ass,(10%) (5%),,,,
173,Pond,Ass,(1%) (1%),,,,
174,Shetar bal,pubic hair of vagina,(10%) (0%),,,,
175,Shishna,Penis,(1%) (3%),,,,
176,Sohail,I like dick,(1%) (5%),,,,
177,Thor heta muka ath boridimu,i will fist your cunt,(10%) (0%),,,,
178,Tor Gaar Maari,I'll fuck your ass,(10%) (5%),,,,
179,Tor maa ke chudi,Fuck your mother,(10%) (2%),,,,
180,tor mar vhoda,your moms pussy,(10%) (3%),,,,
181,tumi bal hagu koro!!,You shit pubic shit,(9%) (7%),,,,
182,Vuuski magi,Nymphomaniac in heat.,(9%) (8%),,,,
183,Aar,testicles,(10%) (4%),,,,
184,bahanchod,sister fucker,(10%) (3%),,,,
185,baila,idiot,(10%) (0%),,,,
186,baklol,stupid,(0%) (0%),,,,
187,bapjeth,elder than one's father,(0%) (0%),,,,
188,bawaseer ho kya,irritating,(0%) (0%),,,,
189,bhadwa,pimp,(0%) (0%),,,,
190,bhethi,boob,(9%) (9%),,,,
191,bhosda,huge pussey,(10%) (0%),,,,
192,bhosri wali,Girl with big puzzy,(10%) (0%),,,,
193,boor,pussey,(10%) (0%),,,,
194,Boor ka baal,Pussy hair,(0%) (0%),,,,
195,burbak,idiot,(10%) (5%),,,,
196,chhinar,whore,(0%) (0%),,,,
197,chhota chetan,small penis,(0%) (0%),,,,
198,chuchi,boob,(0%) (0%),,,,
199,chutmuha,cunt face,(0%) (0%),,,,
200,dogla,bastard,(0%) (100%),,,,
201,gaar marao,fuck off,(0%) (0%),,,,
202,gaar maraye duniya,fuck the world (thuglife),(10%) (0%),,,,
203,gaar me daal le,take (something) in your ass,(10%) (0%),,,,
204,gadchat,ass sucker,(0%) (0%),,,,
205,gopal gaurav,sperm,(10%) (0%),,,,
206,jhatwa,pubic hair,(0%) (0%),,,,
207,kiski maiyaa kutta biyayi,whose mother birthed a dog,(10%) (0%),,,,
208,laar,penis,(10%) (0%),,,,
209,laar chato,suck my dick,(0%) (0%),,,,
210,laar lega,fuck off,(0%) (0%),,,,
211,larchat,dick sucker,(0%) (0%),,,,
212,maa chudao,fuck off,(0%) (0%),,,,
213,muth,sperm,(0%) (100%),,,,
214,randi ka bachha,son of a bitch,(0%) (0%),,,,
215,randikhana,brothel,(10%) (0%),,,,
216,ravi kumar patel,frog,(8%) (17%),,,,
217,tori bahin ke chodu,i will fuck your sister,(0%) (0%),,,,
218,tori maiyaa ke chodu,i fuck your mother,(10%) (0%),,,,
219,maari tatoori ne chalay,Ride my dick,(1%) (1%),,,,
220,Akbaruddin Owaisi,Biggest cunt,(1%) (2%),,,,
221,Alloo Bhosri Chaat,Lick my potato pussy,(1%) (3%),,,,
222,Anuj,Biggest choot,(1%) (7%),,,,
223,Babhuchak,idiot,(10%) (0%),,,,
224,bai no bhosdo,wifes vagina,(9%) (6%),,,,
225,bein chod,sister fuck,(1%) (0%),,,,
226,Benchod,sister fucker,(0%) (0%),,,,
227,Bhadvo,pimp,(1%) (0%),,,,
228,bhenchod,sister fucker,(10%) (5%),,,,
229,Bhoot,Ghost,(10%) (0%),,,,
230,Bhopa,Idiot,(0%) (0%),,,,
231,Bhos marina,Follower of a pussy,(1%) (1%),,,,
232,Bhosad Pappu,pussy faggot,(1%) (1%),,,,
233,bhosdo,"piki, pussy",(10%) (2%),,,,
234,bhosrini,bitch face,(1%) (0%),,,,
235,bobla,boobs,(10%) (5%),,,,
236,Bobla Vagarni Baydi,Wife without Breasts,(10%) (1%),,,,
237,Bosrichord,Pussy Fuck/Fucker,(1%) (1%),,,,
238,bosrina,bitch,(10%) (5%),,,,
239,Buckwass,Bullshit,(1%) (0%),,,,
240,Budhalal,Idiot,(0%) (0%),,,,
241,chafu gaan,dirty asshole,(1%) (0%),,,,
242,Chichi,Poo Poo,(1%) (0%),,,,
243,Chod,Fuck,(1%) (0%),,,,
244,Chod ami,I fucked your mum last night,(7%) (33%),,,,
245,Chodhru,Fucker,(1%) (1%),,,,
246,chodkanya,sex maniac,(1%) (0%),,,,
247,Chodu,Fucker,(1%) (0%),,,,
248,chupri lauri,shut up dick,(9%) (6%),,,,
249,Chutiya,fucker,(1%) (0%),,,,
250,Darshil,Biggest Pussy,(6%) (41%),,,,
251,Dheela Lund Ni Olaad,Product of a loose penis,(10%) (1%),,,,
252,Eapen,dickhead,(0%) (100%),,,,
253,Fattu,Afraid,(10%) (1%),,,,
254,gaan tari,your arse,(1%) (1%),,,,
255,Gaand Ghapli,work getting complicated by someone,(1%) (0%),,,,
256,Gaand Ma Ghal,Stick It In Your Ass,(1%) (1%),,,,
257,"gaandina, gandina",born from ass,(9%) (6%),,,,
258,Gand nu kaanu,Ass Hole,(0%) (0%),,,,
259,gandi chodina,mad fucker,(10%) (5%),,,,
260,gando,crazy,(9%) (5%),,,,
261,Gando salo,Crazy son,(10%) (0%),,,,
262,gel ghagharina,lover of skirt,(10%) (5%),,,,
263,Ghel Chodyo,Crazy,(1%) (1%),,,,
264,Ghelchoydi,Moron (Girl),(10%) (0%),,,,
265,Halki Raand na,Son of a cheap prostitute,(1%) (1%),,,,
266,Harsh Dalal,Pregnant Male Prostitute,(9%) (9%),,,,
267,harshit,stuped dumb fuk,(0%) (100%),,,,
268,hopa,idiot,(0%) (100%),,,,
269,Huzefa,Moody asshole,(0%) (100%),,,,
270,jaaro,humongously obese,(10%) (0%),,,,
271,Jhadhino!,Dickhead!,(9%) (5%),,,,
272,Jignesh Mevani,SC cunt,(9%) (9%),,,,
273,karo loro,black cock,(10%) (3%),,,,
274,kem chho,how are you,(0%) (0%),,,,
275,kutari,BITCH,(0%) (0%),,,,
276,Lakhota,Penis Balls,(10%) (0%),,,,
277,Land,Penis,(1%) (1%),,,,
278,loda,dick,(10%) (0%),,,,
279,lodde mari,on my dick,(0%) (100%),,,,
280,Lowroh,"balls, cock",(1%) (1%),,,,
281,luli,dick,(10%) (4%),,,,
282,Lund Bhagat,Follower [as in religion] of penis,(1%) (0%),,,,
283,Maa ne ghat bhosdina,Son of a prostitute/whore,(10%) (0%),,,,
284,maajaddha,mother fucker,(10%) (3%),,,,
285,maari tatoori ooper bess,sit on my cock,(10%) (1%),,,,
286,maasi chodamno,aunty fucker,(1%) (1%),,,,
287,Madachod,Mother Fucker,(1%) (0%),,,,
288,madachod,mother fucker,(8%) (20%),,,,
289,mandi susee,small willy,(9%) (7%),,,,
290,Manik,dickhead,(10%) (3%),,,,
291,mara man no lado,my fucking wish,(0%) (0%),,,,
292,mari bhosri chaat,lick my pussy,(9%) (6%),,,,
293,meri gaan chatt,lick my ass,(10%) (4%),,,,
294,Mohit,a gay dude,(1%) (2%),,,,
295,Moht,a gay dude,(1%) (4%),,,,
296,mota jijah,big tits,(10%) (5%),,,,
297,nago choido,naked fuker,(10%) (1%),,,,
298,Nakhodiya,Impotent,(10%) (1%),,,,
299,Namuno,Idiot,(10%) (0%),,,,
300,Narender Modi,Dick faced,(1%) (1%),,,,
301,pikina,Son of a bitch,(1%) (1%),,,,
302,Pikina,you male cunt,(1%) (5%),,,,
303,pim pim,little fart,(10%) (3%),,,,
304,poom poom,big fart,(1%) (1%),,,,
305,Priyanshu,Small dick,(10%) (0%),,,,
306,puchi chod,pussy fucker,(1%) (1%),,,,
307,Puti,Pussy,(10%) (0%),,,,
308,raand,prostitute,(1%) (0%),,,,
309,rumana,umers bird,(0%) (0%),,,,
310,sali,fukin bitch,(1%) (1%),,,,
311,salu gut`ti,you dog,(1%) (1%),,,,
312,Sandas,shit,(1%) (1%),,,,
313,suwwar jewu dachu,face like a hog,(10%) (5%),,,,
314,taari bai no aghano,your wife's ass,(8%) (19%),,,,
315,Taari ma parasevo tya-reh e tuti kareh che!,Your mom sweats when she shits!,(8%) (17%),,,,
316,Tara baap ni gaan,Your fathers ass,(10%) (0%),,,,
317,Taree gaar ma lowroh,You got a dick up ass!,(1%) (1%),,,,
318,Taree Ghaar Ma Doh Ladah,You have two shits up your ass!,(1%) (2%),,,,
319,tari bosri kaapi karwa,i will cut your vagina,(0%) (100%),,,,
320,tari dagri,your arse,(0%) (100%),,,,
321,tari gaand mare karya kutra balada,pussy faggot,(10%) (3%),,,,
322,tari gandayli kari koyli dagri,your smelly black rotten arse,(0%) (0%),,,,
323,Tari ma na bubla sukai-gya,Your mums tits have dried out!,(0%) (0%),,,,
324,tari ma ne hadi kadhto hathi chode,A running elephant fucks your mom,(10%) (1%),,,,
325,tari ma ni putti,your mother's vagiana,(10%) (1%),,,,
326,tari ma no poplo,your mothers dick,(10%) (3%),,,,
327,Tari maa na babla chusu,Let me lick your mother's boobs,(0%) (0%),,,,
328,Tari maa na bhosda ma maro lodo,My penis in your mom's pussy,(0%) (0%),,,,
329,Tari maa na modha ma maro lodo,My penis in your mom's mouth,(9%) (9%),,,,
330,Tari maa ne chodu,Will fuck you mother,(10%) (2%),,,,
331,Tari maa ni taturi,yours mums dick,(1%) (2%),,,,
332,tari mai ni gand,your mother's ass,(1%) (1%),,,,
333,tari mani choot ma derka bole,frog barking in ur mom pussy,(10%) (1%),,,,
334,Taro baap tane chadeche,your dad fucks you,(1%) (1%),,,,
335,tere ma nu hinta kar,get your mums fanni hair off,(1%) (2%),,,,
336,teree maah gaderi,Your mum is a donkey,(1%) (0%),,,,
337,thari ma ne bozro maro loro nakhides,ill stick my penis up your mum,(10%) (3%),,,,
338,Thari Ma Ni Ghaan,Your Mums Ass,(10%) (5%),,,,
339,Tusat,Sheep shagger,(10%) (0%),,,,
340,Tutelli nirodh no aulad,Son of a broken condom,(1%) (0%),,,,
341,bahan ke lawde,Sister`s Dick,(10%) (5%),,,,
342,Bawali gand,you crazy ass,(10%) (2%),,,,
343,Bhen ke dine,You are your Sister's Balls,(10%) (0%),,,,
344,chudhu ke chodde,Fuck buddy of low caste,(10%) (2%),,,,
345,Dhi ke lawde,Daughter`s Dick,(10%) (2%),,,,
346,Dhichod,Daughter Fucker,(9%) (7%),,,,
347,Domesaks danso danlo motar!,mother fucking pussy licker,(1%) (4%),,,,
348,bhoor,pussy,(10%) (4%),,,,
349,chuttar,ass,(10%) (1%),,,,
350,chuttari,ass,(1%) (3%),,,,
351,gand chod,ass fucker,(10%) (5%),,,,
352,Ghunt Fala,Rubbish Guy,(10%) (0%),,,,
353,Jhulaniya,Pervert,(0%) (0%),,,,
354,Madhar chod,Mother fucker,(10%) (1%),,,,
355,shivom lal,ugly ape,(0%) (100%),,,,
356,teri maichod,go fuk you're mother,(10%) (0%),,,,
