,Phrase,Meaning,Is This Accurate?,aand,chutiye,idiot,(10%) (0%)
1159,bokki,pussy,(9%) (8%),,,,
1160,Bondu,Gay,(0%) (0%),,,,
1161,bondu,homosexual,(10%) (1%),,,,
1162,bund,ass,(1%) (1%),,,,
1163,Bund,Ass,(0%) (0%),,,,
1164,bund de,let me fuck your ass,(10%) (3%),,,,
1165,Bund Mara,Get ass fucked,(1%) (0%),,,,
1166,Bund marr,Fuck the ass,(10%) (5%),,,,
1167,chaval,scoundrel,(1%) (0%),,,,
1168,Chitta Bander / Kalla Bander,White Monkey / Black Monkey,(1%) (0%),,,,
1169,Chitterchort,Bum Shagger,(0%) (0%),,,,
1170,choos mera badaam,suck my nuts,(10%) (5%),,,,
1171,chutha,vagina,(1%) (1%),,,,
1172,Chutiyaa,"Idiot, Asshole",(0%) (0%),,,,
1173,chuttiya,shifty cunt,(10%) (3%),,,,
1174,dallah,pimp,(1%) (0%),,,,
1175,Dhila lan de padiash,born by lose dick,(1%) (0%),,,,
1176,Fooduu,Dumbass,(9%) (14%),,,,
1177,fuddi hayon da,pussy sucker,(1%) (0%),,,,
1178,fudi,pussy,(1%) (0%),,,,
1179,Fudi chut,Lick pussy,(10%) (0%),,,,
1180,Fudi da tataa,Testies of vagina,(1%) (1%),,,,
1181,fudi fry karna,making out,(9%) (6%),,,,
1182,fudi hyounda,pussy lips,(10%) (4%),,,,
1183,gand,ass,(10%) (0%),,,,
1184,gandu,gay/botty man,(1%) (0%),,,,
1185,Gandu,Gay,(1%) (1%),,,,
1186,ganndu,gay,(10%) (2%),,,,
1187,Gashti,Whore,(1%) (0%),,,,
1188,ghashti,bitch,(1%) (1%),,,,
1189,haram da,son of a bastard,(1%) (0%),,,,
1190,harami saale,son of bitch,(1%) (1%),,,,
1191,Haramjada,Bastard,(1%) (0%),,,,
1192,Jaa apne braah nu chod laa,Go fuck your brother,(1%) (0%),,,,
1193,kala lulla pi,drink black dick,(9%) (9%),,,,
1194,kanjar,male prostitue,(1%) (0%),,,,
1195,Kanjar,Male Whore,(1%) (0%),,,,
1196,Kanjari,Female Whore,(1%) (0%),,,,
1197,Kenjer,Fucker,(9%) (13%),,,,
1198,Khota,Donkey,(1%) (0%),,,,
1199,kissey kuti ma da puttar,some bitch mothers son,(1%) (0%),,,,
1200,Klatch,Idiot/dickhead,(10%) (0%),,,,
1201,Kuta,Dog,(1%) (0%),,,,
1202,kuta,dog,(10%) (3%),,,,
1203,Kutha,Male Dog,(1%) (0%),,,,
1204,kuthay da puthar,son of a dog,(1%) (0%),,,,
1205,Kuthi,Female Dog,(1%) (0%),,,,
1206,kuti,"female dog, bitch",(1%) (0%),,,,
1207,Laan tare mow nee,Your mums dick,(10%) (2%),,,,
1208,lan chat,lick cock,(1%) (0%),,,,
1209,lan choos,suck cock,(1%) (0%),,,,
1210,Lauda,Dick,(10%) (0%),,,,
1211,Lul,Dick,(1%) (1%),,,,
1212,lula bahonder tup,go suck monkey dick,(10%) (0%),,,,
1213,lula chooshe,suck dick,(10%) (4%),,,,
1214,Lun,Dick,(1%) (0%),,,,
1215,Lun choos,Suck my cock,(0%) (100%),,,,
1216,Lun Chung,Suck Dick,(1%) (0%),,,,
1217,Lun kurra how gaya,I have a hard on,(10%) (0%),,,,
1218,lun te charrh,sit on my dick,(10%) (2%),,,,
1219,Lund,Dick,(0%) (0%),,,,
1220,Lund Chuss,Suck Dick,(1%) (0%),,,,
1221,Lunni,Small dick,(10%) (0%),,,,
1222,Ma chod,Mother fucker,(1%) (0%),,,,
1223,ma di podi,mums fanny,(1%) (1%),,,,
1224,maa-jhouda,motherfucker,(1%) (1%),,,,
1225,Maan Da Yaar,Mother's Boy Friend,(1%) (0%),,,,
1226,MaanChod,Mother Fucker,(1%) (0%),,,,
1227,Mamai,Boobs,(1%) (0%),,,,
1228,Mamai Chuss,Suck Boobs,(1%) (0%),,,,
1229,mamai patta,grope tits,(1%) (1%),,,,
1230,mango,dirty little shit,(1%) (3%),,,,
1231,mao ni puddi,your mums vagina,(9%) (13%),,,,
1232,matarchod,fuck ur mother,(1%) (1%),,,,
1233,Mau ni yakk,Mother fucker,(0%) (100%),,,,
1234,Meh tera tueh vich aangliyan devan,Im gonna finger ur ass,(10%) (3%),,,,
1235,Menu zor nal lan mar,Fuck me hard,(10%) (0%),,,,
1236,Mera lan sakht ah,My dick is hard,(9%) (12%),,,,
1237,Mera lan tera tueh ki paarsi,My dick is gonna rip ur ass,(10%) (2%),,,,
1238,Mera lun choos ta aangly mar,Suck my dick and finger me,(10%) (0%),,,,
1239,mera lund teri bund de betch,my dick in ur ass,(1%) (0%),,,,
1240,mere lund tey charr ke nach!,get on my cock and dance!,(10%) (0%),,,,
1241,Meri Tutti Kha,Eat my shit,(1%) (0%),,,,
1242,Mume,Breast,(10%) (2%),,,,
1243,Muth Maar,Masturbate,(1%) (0%),,,,
1244,nuts ko suck kurrow,suck my nuts,(9%) (7%),,,,
1245,pad mar,do a fart,(1%) (0%),,,,
1246,Pan da yaar,Sister's friend or sister fucker,(10%) (5%),,,,
1247,Panchod salaa,Fucking Bastard,(1%) (2%),,,,
1248,Peshaab,Piss,(10%) (5%),,,,
1249,phen chodtha,sister fuck,(10%) (1%),,,,
1250,poo,tatti,(1%) (1%),,,,
1251,Pud,Fart,(10%) (0%),,,,
1252,Puddu,Idiot,(1%) (2%),,,,
1253,Pudhi avandeya,Cunt (male person),(10%) (5%),,,,
1254,Pudi,Pussy,(1%) (0%),,,,
1255,randi,slut/whore,(1%) (1%),,,,
1256,soor,pig,(1%) (0%),,,,
1257,Tatte,Testicals,(1%) (0%),,,,
1258,tatte chaude,wide separated testes,(9%) (10%),,,,
1259,tatte fad lo,hold my balls,(10%) (0%),,,,
1260,tatte hayon da,testis sucker,(1%) (1%),,,,
1261,taxi,slut,(1%) (1%),,,,
1262,Teri Bhen Dee Fuddi Mari,I'll fuck your sister,(1%) (1%),,,,
1263,teri bhen di ghusi,your sisters pussy,(10%) (0%),,,,
1264,teri bund ch lakad,fuck ur ass,(1%) (1%),,,,
1265,Teri bund marni aa,I wanna fuck your ass,(10%) (0%),,,,
1266,teri fudi wich lul marya,i want to fuck you,(0%) (0%),,,,
1267,Teri ma da ghusa,Your mothers pussy,(0%) (0%),,,,
1268,Teri ma di khali phudi,your mums black cunt,(1%) (0%),,,,
1269,Teri ma the fudi,Your mom's pussy,(1%) (0%),,,,
1270,teri maa da fudda,your's mother big vagina,(10%) (1%),,,,
1271,teri maa da posrha,your's mother vagina,(10%) (4%),,,,
1272,Teri maa dai ccholay,Your mothers balls,(1%) (1%),,,,
1273,teri maa dee tutee swaad ya,your mom's shit taste good,(1%) (1%),,,,
1274,Teri maa di gandi phuddi,Your mums dirty fanny,(1%) (0%),,,,
1275,Teri Maa Di Koosii Kay Uppar !,Up Your Mothers Ass!,(10%) (0%),,,,
1276,teri maa di pudi vich lath,leg in your moms pussy,(1%) (0%),,,,
1277,teri maa nu lund,cock to your mother,(10%) (4%),,,,
1278,Teri Maan Dee Fuddi Mari,I'll fuck your mother,(1%) (1%),,,,
1279,teri paan dee lund,your sister's cock,(1%) (0%),,,,
1280,Teri paan di fudi parrne,im goin to rip your sister pussy,(1%) (1%),,,,
1281,teri paen nu lan,dick in your sisters pussy,(1%) (0%),,,,
1282,Teri pain dha pahraya hoya phudda,Your sisters ripped pussy,(10%) (4%),,,,
1283,teri pen da pudda,your sisters pussy,(1%) (0%),,,,
1284,terri ma di fuid parne,i am gonna rip your mom's pussy,(1%) (1%),,,,
1285,topa,dick head,(1%) (0%),,,,
1286,Topa,Dickhead,(1%) (0%),,,,
1287,Topa te beja,Sat on the top of my cock,(1%) (1%),,,,
1288,Tu Bhen Da Yaar,You are your sister's boyfriend,(1%) (1%),,,,
1289,Tu Maan Da Yaar,You are your mother's boyfriend,(1%) (0%),,,,
1290,tu vich leni daa.,u fucked in womb.,(1%) (1%),,,,
1291,Tutta,One of your balls,(8%) (17%),,,,
1292,Tuttay,balls,(1%) (3%),,,,
1293,Guddha naku,Lick as,(1%) (0%),,,,
1294,Guddha pagala dengutha,I will fuck the ass untill breakage,(1%) (0%),,,,
1295,aathulu,pubic hair,(1%) (0%),,,,
1296,aathulu peeku,pluck my pubes,(10%) (1%),,,,
1297,aathulu peekutha,pluck your pubes,(1%) (0%),,,,
1298,Aati Mokka,Pubic hair,(10%) (5%),,,,
1299,akka bokka lO naa sulla,my dick in sister's pussy,(10%) (2%),,,,
1300,akka nee pooku dengutha,"sister, i'll fuck you",(1%) (1%),,,,
1301,amma pooku ki baanisa,slave to mother's pussy,(9%) (13%),,,,
1302,amma pooku lo arati pandu,banana in mommys pussy,(10%) (0%),,,,
1303,ATTHA POOKU DENGINA ALLDU,SON IN LAW WHO FUCKED MOTHER IN LAW,(1%) (0%),,,,
1304,bochu,"hair, pubic hair",(1%) (0%),,,,
1305,Bosudi,Bitch,(0%) (0%),,,,
1306,chilipiga thittatam,english,(1%) (4%),,,,
1307,Chitthu Pooka,Waste cunt,(1%) (1%),,,,
1308,Dengithe dayyalu pudatai,Ghosts will born if I fuck you,(0%) (0%),,,,
1309,Dengu,Fuck,(0%) (0%),,,,
1310,doola lanja,horny whore,(10%) (2%),,,,
1311,Gaadida Pichaloda,You are a Donkey Dick,(10%) (2%),,,,
1312,Gaja madda,Elephants dick,(9%) (9%),,,,
1313,golli cheeku ra kodaka,suck my clit son,(1%) (1%),,,,
1314,golli chekutha lanja,suck your clit whore,(10%) (4%),,,,
1315,Gudda,Arse,(1%) (0%),,,,
1316,gudda,asshole,(1%) (0%),,,,
1317,gudda naaku,lick the asshole,(1%) (1%),,,,
1318,Hasta Prayogam chai,Masturbate,(1%) (0%),,,,
1319,Jinniappa,Balls,(9%) (9%),,,,
1320,kammani pooku,sweet cunt,(1%) (1%),,,,
1321,Kojja,Homosexual,(9%) (7%),,,,
1322,Konamodda,Front ball of the Dick,(1%) (1%),,,,
1323,kukka -pooka,bitch's cunt,(1%) (1%),,,,
1324,kukka sulli,Dog's dick,(1%) (0%),,,,
1325,Kuthuru vongudu..alludu dhengudu,daughter.bends..son in law fucks,(10%) (3%),,,,
1326,LANGA VIPPAVAE LANJAA,REMOVE YOUR PETTI COAT,(1%) (0%),,,,
1327,lanja,prostitute,(1%) (0%),,,,
1328,lanja - kodka,son of a prostitute,(1%) (0%),,,,
1329,Lanja munda,Dirty Bitch,(1%) (1%),,,,
1330,lanja pooka,prostitute`s vagina,(10%) (2%),,,,
1331,Lanjakodka,Son of a bitch!,(10%) (4%),,,,
1332,Marmangam,secret organ,(1%) (3%),,,,
1333,Modda,Dick,(1%) (0%),,,,
1334,modda cheeku lanja,suck my dick whore,(9%) (8%),,,,
1335,MODDA KUDUVU,SUCK MY COCK,(1%) (1%),,,,
1336,modda naaku,lick the cock,(10%) (2%),,,,
1337,modda notlo petti dengutha,fuck your mouth,(1%) (1%),,,,
1338,"modda, lavada, daddu, magatanam",dick,(10%) (3%),,,,
1339,"muchchika, chanu mona",nipple,(10%) (3%),,,,
1340,muddy lo velu petuko,stick your finger in my ass,(9%) (5%),,,,
1341,naa modda gudu,suck my cock,(10%) (4%),,,,
1342,Ne akka nu denga,sister fucker,(1%) (1%),,,,
1343,ne akkan ma kukka dengha,my dog fuck ur sister,(10%) (2%),,,,
1344,Ne amma pukkulo naa modda,my cock in your mothers cunt,(1%) (0%),,,,
1345,ne jathini kukka denga,dog fuck ur family,(10%) (2%),,,,
1346,ne notlo naa suli,my cock in your mouth,(10%) (2%),,,,
1347,Ne pookula na sulli,My dick in your pussy,(10%) (0%),,,,
1348,Nee aali pookulo Rampam,Saw up your wife`s pussy,(10%) (4%),,,,
1349,NEE AKKAANI DENGAA,I FUCK YUR SISTER,(10%) (1%),,,,
1350,nee akkanu denga,fuck your sister,(10%) (2%),,,,
1351,NEE ALINI DENGAA,I FUCK YOUR WIFE,(1%) (1%),,,,
1352,nee amma guddani denga,fuck your mother`s ass,(9%) (13%),,,,
1353,nee amma kuttani denga,May I fuck your mom,(9%) (7%),,,,
1354,Nee amma roju na modda cheekuthundi,Your mom sucks my cock daily,(10%) (0%),,,,
1355,NEE AMMANI DENGAA,I FUCK YOUR MOTHER,(10%) (4%),,,,
1356,nee ammanu denga,fuck your mother,(10%) (4%),,,,
1357,nee ammanu dnegu,fuck your mother,(9%) (6%),,,,
1358,nee kooturu ni denga,fuck your daughter,(10%) (5%),,,,
1359,nee notlo naa sulli,my cock in ur mourh,(10%) (0%),,,,
1360,nee pallu super,your melons are super!,(1%) (2%),,,,
1361,nee pellaanni denga,fuck your wife,(1%) (1%),,,,
1362,nee pooku chekutha,suck your pussy,(9%) (5%),,,,
1363,nee pukulo naa sulli,my dick in your vagina,(0%) (0%),,,,
1364,Ni akkani pandulu denga,May pigs fuck your sister,(0%) (0%),,,,
1365,Ni pukla na madda,Go fuck off,(0%) (100%),,,,
1366,nihar,dick,(0%) (100%),,,,
1367,Nihar (or) banda pooku,Fat pussy,(0%) (0%),,,,
1368,ninnu dengutha,I will fuck you,(1%) (0%),,,,
1369,Nuvvu nee yendipoyina sulli,You and your Dry Dick,(10%) (0%),,,,
1370,PEDDA SALLADHI,WOMAN WITH BIG BOOBS,(1%) (0%),,,,
1371,Pichi Pukoda,Guy with Crazy Vagina,(1%) (0%),,,,
1372,Pichi Pukudaana,Girl with Crazy Vagina,(1%) (0%),,,,
1373,Poi voungu ra,Go and get fucked,(10%) (2%),,,,
1374,Pooku,Vagina,(1%) (0%),,,,
1375,pooku,pussy,(0%) (0%),,,,
1376,"pooku, dimma, pappa, bokka",pussy/cunt,(9%) (6%),,,,
1377,Poooku chinchu,rip my cunt,(1%) (0%),,,,
1378,pukku naaku,lick the cunt,(10%) (2%),,,,
1379,Puku Peka adistha,Playing Poker with cunt,(10%) (4%),,,,
1380,puthhi,clitoris,(1%) (15%),,,,
1381,sachinoda,idiot,(8%) (23%),,,,
1382,sallu dengutha,fuck your tits,(10%) (3%),,,,
1383,SANALO BOCHHO,HAIR IN ARM PITS,(1%) (1%),,,,
1384,shaata,pubic hair,(1%) (1%),,,,
1385,Sravan (or) konda verri pooku,Mad Hilly pussy,(10%) (0%),,,,
1386,sulii,dick,(9%) (8%),,,,
1387,Sulli pattu,Hold my dick,(10%) (0%),,,,
1388,Teja (or) adivi pooku,Wild pussy,(9%) (9%),,,,
1389,Teja trivikram (or) adivi pooku,Wild pussy,(0%) (100%),,,,
1390,thurku valagodtha,blast your pussy,(10%) (0%),,,,
1391,Vattakai,single ball/testicle,(10%) (1%),,,,
1392,vattalu,balls/ testicles,(1%) (0%),,,,
1393,Vedhava,Stupid,(10%) (0%),,,,
1394,verri puka,mad pussy,(10%) (4%),,,,
1395,vongo petti dengutha lanja,will fuck you bending,(1%) (0%),,,,
1396,aaja choos mera lurs,come here and suck my big dick,(1%) (1%),,,,
1397,Aap ka aana,You come,(1%) (5%),,,,
1398,apna lun cuti shur,cut your dick off,(1%) (1%),,,,
1399,"Balal, mera noonoo na choop se",Balal suck my dick now,(10%) (4%),,,,
1400,Behn ki chutar,sister's vagina,(9%) (7%),,,,
1401,Bhadwe Ki Nasal,Illegitimate Son of a Pimp,(0%) (0%),,,,
1402,bhai chode,brother fucker,(1%) (1%),,,,
1403,Bhen chot,Sisterfucker,(0%) (0%),,,,
1404,Bhen ke lorray,Sister's penis,(1%) (0%),,,,
1405,bosard chodi kay,bad fucked child,(1%) (1%),,,,
1406,Bund ke Biryani,Biryani of bund,(10%) (2%),,,,
1407,chatt merai tattai,lick my balls,(10%) (0%),,,,
1408,Choom meri Gaand,Kiss my ass,(10%) (2%),,,,
1409,Choos Mera Lora,Suck my Dick,(1%) (1%),,,,
1410,chooth kay pakoray,vaginal treats,(1%) (1%),,,,
1411,choti se luli,small penis,(1%) (0%),,,,
1412,Chupa la lay,Suck dick,(0%) (0%),,,,
1413,Chut ke chatney,Chutney of vagina,(8%) (23%),,,,
1414,dalla,pimp,(1%) (1%),,,,
1415,dari moni pudi mari,I fucked your mother,(1%) (6%),,,,
1416,deli mali guti,your mum is a bitch,(1%) (2%),,,,
1417,doe dolla raandee,2 dollar whore,(1%) (1%),,,,
1418,Duffah oja,Get lost,(1%) (0%),,,,
1419,eik dolla raande,1 dollar whore,(1%) (1%),,,,
1420,gaand chamchi,spoon up your ass,(10%) (1%),,,,
1421,gaand ka bukhaar,pain in the ass,(10%) (2%),,,,
1422,Gaddha,Donkey,(1%) (0%),,,,
1423,ghandoo,dick,(1%) (4%),,,,
1424,Ghasti Kay Bachay,Son Of A Bitch,(0%) (0%),,,,
1425,haraam salle,bastard,(1%) (1%),,,,
1426,Haraamzada,Son of a bitch (male),(9%) (13%),,,,
1427,Haraamzadi,Son of a bitch (female),(6%) (44%),,,,
1428,haram salla,bitch dog,(9%) (6%),,,,
1429,jhaant kay baal,pubic hair,(9%) (7%),,,,
1430,kaala bandar,black bitch,(1%) (9%),,,,
1431,Kamina,rascal,(10%) (0%),,,,
1432,kanjeri kay bachay,prostitute child,(10%) (3%),,,,
1433,Khuss madri kay,from a mothers vagina,(1%) (1%),,,,
1434,kute liche ho chublo,Bitch get down and suck,(1%) (1%),,,,
1435,kutee chode,dog fucker,(1%) (1%),,,,
1436,kutta,dog,(1%) (0%),,,,
1437,Kuttay ka bacha,Son of a dog,(1%) (0%),,,,
1438,kutte ka ghanta,Dog's dick,(1%) (1%),,,,
1439,Kutti,Bitch,(1%) (0%),,,,
1440,kutti ka bacha,son of a bitch,(1%) (0%),,,,
1441,lalchi kutte kaa bacha,son of a crazy dog,(10%) (2%),,,,
1442,Lola/Lula,Dick,(1%) (1%),,,,
1443,looly,penis,(1%) (0%),,,,
1444,lora le kay nach mera,take my penis and dance,(10%) (0%),,,,
1445,Lula mu ki lan,Dick i shagged your mam,(10%) (2%),,,,
1446,lulmuah,dick head,(1%) (1%),,,,
1447,Lun Chuse,Suck a dick,(1%) (1%),,,,
1448,Lund Pe Charh,Ride My Dick,(10%) (0%),,,,
1449,Maan Chod,Mother Fucker,(0%) (0%),,,,
1450,Maan kay laurday,Mother's cock,(1%) (1%),,,,
1451,madarugly,your mother is ugly,(8%) (21%),,,,
1452,Mather chot,Motherfucker,(1%) (0%),,,,
1453,Mayyaada,Mother fucker,(1%) (1%),,,,
1454,meera loora choo so,suck my dick,(1%) (1%),,,,
1455,meli mali guta,i am a bitch,(1%) (2%),,,,
1456,mera laan choop,suck by cock,(1%) (1%),,,,
1457,monney podey,a mum's cock,(1%) (1%),,,,
1458,moomeh,boobs,(1%) (1%),,,,
1459,muth ki malai,rotten semen,(10%) (4%),,,,
1460,Myyaada,Mother fucker,(1%) (1%),,,,
1461,pancho,fuck,(1%) (1%),,,,
1462,peasah nah mahr,dont fart,(1%) (1%),,,,
1463,Phudi,Pussy,(10%) (0%),,,,
1464,poody,fanny,(1%) (1%),,,,
1465,Randee ka bacha,Son of a whore,(1%) (0%),,,,
1466,Randi ki nasal,Generation of whore,(10%) (2%),,,,
1467,rundi ka bacha,son of a whore,(1%) (0%),,,,
1468,Shudra Lund,Big Black Dalit Dick,(9%) (5%),,,,
1469,Tamil Lund,Big Black Dravidian Dick,(1%) (1%),,,,
1470,tari beh na puda paarsan,im gonna rip ur moms vagina,(10%) (3%),,,,
1471,Tattay chooso,suck my balls,(1%) (0%),,,,
1472,tattee choad,shithead,(1%) (1%),,,,
1473,tere bhen meri chod hain,your sister is my dick,(9%) (13%),,,,
1474,tere gand maroo,fuck you,(10%) (2%),,,,
1475,Teri Gaand Main Kutta Mutre,Dog Pees in Your Ass,(10%) (0%),,,,
1476,teri gand ma keera hai,an insect in ur ass,(10%) (3%),,,,
1477,teri gand mera lun hai,my dick in your ass,(1%) (1%),,,,
1478,teri ma khuti,you mom ia a bitch,(1%) (0%),,,,
1479,Teri Ma ki choot,Your mother pussy,(10%) (0%),,,,
1480,Teri Ma Ko Kuttey Chodein,May dogs fuck your mom,(1%) (0%),,,,
1481,teri maa ki phudi,your moms pussy,(10%) (3%),,,,
1482,Toomaray tattay baraay pahraay heh,Youe balls are very heavy,(1%) (1%),,,,
1483,tu tho meri chod ki tara :P,you look like my dick :P,(10%) (3%),,,,
1484,Uloo Ki Pata,Son of An Owl,(1%) (1%),,,,
1485,Uloo Ki Pati,Daughter of An Owl,(1%) (1%),,,,
1486,ulu chod,owl fucker,(1%) (1%),,,,
